Model,AUC,CI_lo,CI_hi,AP
XGB-snapshot,0.6608495168982531,0.615363519004456,0.7052966144964264,0.1618723926074805
DL-Ensemble,0.6414326749955331,0.5967013076473013,0.6850065369348755,0.14383654306606689
GRU+Attn,0.6366050935279484,0.5919292543831904,0.6806579890870408,0.13269160966644677
LSTM+Attn,0.6312483678995038,0.5874405983670405,0.6737329050357304,0.13630650990215487
Transformer,0.6208132327272228,0.5759667297256252,0.6661230786355858,0.11986693048222499
